"URls","HTTP Status Code"
"https://www.washingtonpost.com/local/obituaries/richard-pyle-ap-correspondent-who-covered-vietnam-disasters-dies-at-83/2017/09/29/ee31e02e-a524-11e7-ade1-76d061d56efa_story.html","200"
"https://www.washingtonpost.com/news/early-lead/wp/2017/09/30/vile-disgusting-racist-cavs-owner-describes-voice-mails-after-lebron-jamess-trump-tweet/?utm_term=.58e3783d6859","200"
"https://www.washingtonpost.com/lifestyle/see-some-of-the-entries-in-national-geographics-2017-nature-photographer-of-the-year-contest/2017/09/21/909fdda8-9ee9-11e7-8ea1-ed975285475e_gallery.html","200"
"https://www.washingtonpost.com/news/the-switch/wp/2017/09/29/report-thousands-of-macs-and-pcs-may-be-vulnerable-to-a-sophisticated-kind-of-computer-attack/","200"
"https://www.washingtonpost.com/people/emily-rauhala/","200"
"https://www.washingtonpost.com/store/","200"
"https://www.washingtonpost.com/news/capital-weather-gang/wp/2017/09/30/d-c-area-forecast-cool-breezes-today-then-even-more-spectacular-on-sunday-and-beyond/","200"
"https://www.washingtonpost.com/local/md-politics/new-laws-expand-litigation-options-over-drug-prices-childhood-sexual-abuse/2017/09/28/f975508c-a462-11e7-8cfe-d5b912fabc99_story.html","200"
"https://www.washingtonpost.com/regional/","200"
"https://www.washingtonpost.com/sports/colleges/rick-pitinos-latest-transgression-leaves-one-louisville-fan-without-words/2017/09/30/65a7695e-a560-11e7-ade1-76d061d56efa_story.html","200"
"https://www.washingtonpost.com/people/kathleen-parker/","200"
"https://www.washingtonpost.com/news/true-crime/wp/2017/09/29/a-mother-went-on-an-11-day-european-vacation-and-left-her-young-children-alone-at-home/?utm_term=.3082f6a7231d","200"
"https://www.washingtonpost.com/people/william-wan/","200"
"https://www.washingtonpost.com/news/capitals-insider/wp/2017/09/30/capitals-offensive-struggles-in-preseason-are-disturbing-says-coach-barry-trotz/","200"
"https://www.washingtonpost.com/news/powerpost/wp/2017/09/26/qa-for-federal-workers-retirement-wave/","200"
"https://www.washingtonpost.com/news/powerpost/wp/2017/09/25/whistleblowers-at-u-s-funded-research-institutions-fear-retaliation/","200"
"https://www.washingtonpost.com/opinions/trump-and-his-team-do-a-heckuva-job-in-puerto-rico/2017/09/29/84eee576-a53d-11e7-ade1-76d061d56efa_story.html","200"
"https://www.washingtonpost.com/anonymous-news-tips/","200"
"https://www.washingtonpost.com/world/tillerson-us-is-in-direct-contact-with-north-korea/2017/09/30/eecb3ed2-a5c3-11e7-8c37-e1d99ad6aa22_story.html","200"
"https://www.washingtonpost.com/news/powerpost/wp/2017/09/26/probe-estimates-billions-of-delayed-mail-pieces-postal-service-acknowledges-some-coverups/","200"
"https://www.washingtonpost.com/news/posteverything/wp/2017/09/29/hugh-hefners-world-wasnt-just-bad-for-women-it-hurt-men-too/","200"
"https://www.washingtonpost.com/business/economy/forget-passion-this-tutoring-business-grew-out-of-a-mothers-desperation/2017/09/29/13e6a660-a304-11e7-8cfe-d5b912fabc99_story.html","200"
